Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"production assistant, radio",healthcare,increasing,low,59923.23,high school,1,8039,3829,55.19,48.57,china,78.99
armed forces technical officer,retail,increasing,moderate,52060.54,phd,13,8317,9078,84.29,29.58,india,53.79
youth worker,retail,decreasing,moderate,110077.96,master’s degree,18,4286,8248,24.27,20.75,usa,67.62
special effects artist,education,decreasing,moderate,102393.43,phd,0,348,5612,86.55,18.51,india,48.47
ceramics designer,transportation,increasing,high,73318.63,associate degree,11,1473,8555,41.11,57.59,brazil,32.69
animal technologist,transportation,decreasing,moderate,72953.11,master’s degree,3,1464,6938,54.24,1.9,canada,44.82
firefighter,it,increasing,low,34082.78,high school,4,2163,6734,87.31,90.32,canada,48.98
charity fundraiser,education,increasing,high,41523.13,bachelor’s degree,2,7568,9624,23.23,63.1,india,38.94
housing manager/officer,education,decreasing,moderate,92165.61,phd,17,2582,5018,18.15,66.91,usa,34.93
jewellery designer,retail,increasing,high,62229.93,high school,15,3369,3297,87.85,21.83,canada,43.89
ecologist,it,decreasing,moderate,106122.32,associate degree,17,5407,4631,43.99,4.91,india,42.53
operations geologist,entertainment,increasing,high,142549.39,high school,5,7635,3586,8.59,70.67,usa,26.25
patent attorney,entertainment,increasing,low,76323.91,associate degree,18,1334,2198,12.72,21.4,china,32.51
media buyer,transportation,decreasing,low,79665.42,phd,20,1527,5198,76.29,41.06,china,69.95
town planner,entertainment,increasing,moderate,41105.21,master’s degree,14,8467,4447,36.16,67.4,china,26.15
tour manager,finance,increasing,high,121435.0,associate degree,5,6840,6963,1.36,93.49,uk,26.05
higher education careers adviser,finance,increasing,low,124663.97,master’s degree,9,7445,9354,53.86,35.94,uk,75.44
fitness centre manager,transportation,increasing,moderate,41067.95,bachelor’s degree,20,3104,7299,98.89,59.01,uk,69.5
immunologist,it,decreasing,low,148115.7,phd,2,7341,8522,33.47,71.87,india,20.75
contracting civil engineer,finance,increasing,high,38486.99,phd,12,9860,1304,17.25,72.21,canada,55.07
surgeon,healthcare,increasing,high,35799.45,phd,2,6281,447,55.15,87.52,brazil,37.04
environmental consultant,transportation,decreasing,low,54495.6,associate degree,20,1830,3231,11.48,48.54,india,39.11
"engineer, electrical",manufacturing,increasing,low,65875.53,phd,3,7659,7989,31.94,31.73,brazil,58.24
"surveyor, commercial/residential",it,decreasing,low,60038.64,bachelor’s degree,0,3922,327,52.4,88.22,india,26.59
customer service manager,finance,increasing,low,50955.44,bachelor’s degree,20,2523,2066,74.75,76.44,australia,79.71
microbiologist,entertainment,decreasing,moderate,113064.81,bachelor’s degree,6,5766,1439,77.68,47.32,germany,30.38
secretary/administrator,retail,increasing,low,97806.7,master’s degree,4,1437,272,24.61,60.71,usa,28.52
armed forces operational officer,finance,increasing,moderate,102858.12,high school,20,2105,7045,42.29,10.19,usa,20.25
"therapist, horticultural",healthcare,decreasing,moderate,82449.59,phd,11,8459,4383,19.56,46.59,australia,30.99
architect,healthcare,increasing,low,147313.07,bachelor’s degree,16,7292,2487,0.79,61.68,germany,26.25
"engineer, structural",education,increasing,high,77792.33,bachelor’s degree,7,7836,6700,71.9,36.73,australia,63.61
trade union research officer,it,decreasing,high,82029.69,master’s degree,8,3144,3121,55.22,98.23,brazil,60.82
radio producer,finance,increasing,moderate,105560.54,master’s degree,20,7406,3389,68.35,19.84,brazil,48.26
primary school teacher,manufacturing,decreasing,high,137071.8,high school,0,1171,8644,74.87,52.54,india,60.76
site engineer,finance,increasing,moderate,50632.02,master’s degree,1,1868,6591,85.62,30.27,australia,26.77
tour manager,retail,decreasing,low,80521.07,bachelor’s degree,6,3142,507,79.18,8.83,usa,74.74
electrical engineer,manufacturing,increasing,moderate,88804.87,bachelor’s degree,2,5614,3475,66.17,5.43,germany,53.48
armed forces logistics/support/administrative officer,retail,decreasing,low,113965.96,associate degree,11,2103,3229,38.63,48.58,germany,53.01
"programmer, systems",finance,increasing,low,131852.51,high school,9,1876,5623,20.29,7.3,uk,22.67
archivist,finance,decreasing,high,33072.25,master’s degree,7,2569,1514,83.28,83.87,germany,52.41
tourist information centre manager,retail,increasing,high,46195.73,associate degree,8,7005,8436,8.68,89.63,brazil,77.46
occupational therapist,manufacturing,increasing,moderate,82210.61,phd,20,7442,8558,47.66,20.84,brazil,57.67
general practice doctor,transportation,increasing,high,94118.58,phd,0,4069,5391,99.88,21.59,usa,37.47
air cabin crew,retail,decreasing,low,96498.83,master’s degree,10,815,1655,50.9,46.38,usa,74.62
"therapist, art",retail,decreasing,moderate,74424.16,phd,5,622,2406,47.96,53.24,usa,53.94
"lighting technician, broadcasting/film/video",education,decreasing,high,76301.45,bachelor’s degree,5,9510,9086,86.47,57.29,china,43.21
herbalist,manufacturing,increasing,high,106276.67,master’s degree,11,813,2546,95.92,50.01,india,64.31
technical brewer,education,decreasing,moderate,114843.48,phd,12,9965,2903,91.98,43.49,brazil,46.01
water engineer,entertainment,decreasing,moderate,33122.25,bachelor’s degree,4,187,8383,21.9,8.62,usa,28.55
animal technologist,finance,decreasing,moderate,112646.79,associate degree,7,2976,8835,34.51,94.79,usa,27.37
clothing/textile technologist,finance,decreasing,moderate,128177.18,master’s degree,12,7678,5185,22.6,54.03,brazil,33.84
site engineer,education,decreasing,high,87311.09,master’s degree,17,4517,3138,15.96,86.18,australia,51.11
cabin crew,retail,decreasing,high,93530.19,associate degree,15,4742,4747,92.46,19.9,uk,53.04
estate manager/land agent,retail,increasing,moderate,41380.56,phd,5,701,3748,72.19,22.63,germany,47.46
database administrator,entertainment,decreasing,high,61072.12,bachelor’s degree,17,5028,7954,13.43,23.69,brazil,59.66
"teacher, music",manufacturing,decreasing,high,147474.55,phd,17,3722,8025,95.69,54.06,canada,66.61
clinical embryologist,it,increasing,moderate,99763.19,associate degree,16,6683,3285,74.98,71.29,australia,37.61
photographer,retail,increasing,moderate,39219.27,bachelor’s degree,19,3161,1466,89.91,91.28,brazil,43.23
consulting civil engineer,transportation,increasing,low,47345.9,high school,15,5603,6775,71.4,85.49,china,76.68
"designer, multimedia",finance,increasing,low,36480.96,phd,1,3400,2048,42.57,23.04,china,62.43
architectural technologist,education,increasing,high,112692.04,high school,16,2870,9159,51.62,50.77,china,20.36
acupuncturist,retail,decreasing,low,53447.29,bachelor’s degree,17,7125,470,85.94,78.62,brazil,67.13
"engineer, technical sales",manufacturing,increasing,low,66531.98,bachelor’s degree,20,6137,8584,80.82,20.06,china,60.05
"engineer, mining",healthcare,decreasing,low,115731.01,phd,12,6625,5265,96.13,78.58,china,22.78
"investment banker, operational",education,increasing,high,48522.58,phd,2,3494,1524,89.76,88.44,uk,40.62
manufacturing engineer,transportation,decreasing,low,95483.65,high school,4,5842,2181,54.32,65.13,germany,40.78
"librarian, public",education,increasing,high,145028.73,high school,4,7767,669,48.68,94.53,germany,60.52
air broker,transportation,decreasing,moderate,134199.76,bachelor’s degree,9,5919,7865,6.29,73.96,india,37.44
counselling psychologist,finance,increasing,low,129086.95,associate degree,10,8436,7321,86.99,92.97,australia,27.0
microbiologist,finance,increasing,high,49354.81,high school,13,7779,2602,15.01,5.23,brazil,47.94
quarry manager,entertainment,decreasing,high,78151.66,phd,12,1542,224,93.08,38.05,china,27.12
speech and language therapist,finance,decreasing,low,142772.8,associate degree,6,8551,7427,1.56,14.37,uk,73.21
ranger/warden,retail,increasing,moderate,77414.15,associate degree,16,1135,1815,28.29,30.13,brazil,22.82
animal nutritionist,retail,decreasing,low,132109.73,phd,9,1393,5492,44.12,82.2,china,64.51
ecologist,education,increasing,low,101582.62,master’s degree,17,2010,4265,76.32,33.41,usa,34.36
"engineer, civil (contracting)",finance,increasing,high,126030.56,high school,16,6398,9686,10.28,45.75,india,67.3
hospital pharmacist,it,increasing,low,63660.78,high school,8,6427,2431,35.98,45.38,germany,64.92
police officer,healthcare,increasing,low,73217.2,bachelor’s degree,14,1024,4511,36.72,75.12,usa,79.33
research scientist (maths),healthcare,increasing,moderate,94919.8,bachelor’s degree,12,1339,8007,18.1,67.66,india,31.77
"lighting technician, broadcasting/film/video",education,decreasing,high,108805.77,high school,3,6086,1278,13.71,94.72,india,23.89
radiation protection practitioner,education,decreasing,moderate,56786.75,bachelor’s degree,2,6513,5031,84.53,97.18,brazil,61.5
database administrator,healthcare,decreasing,moderate,132524.15,high school,7,9910,1918,96.0,71.28,australia,29.85
advice worker,entertainment,increasing,moderate,143518.25,bachelor’s degree,3,4866,2662,30.27,46.55,canada,53.4
meteorologist,finance,increasing,low,59422.0,associate degree,19,4293,8258,62.32,66.46,china,70.41
aeronautical engineer,entertainment,decreasing,moderate,47620.87,associate degree,12,9748,5026,96.93,42.37,china,51.55
"administrator, local government",education,increasing,moderate,108313.35,phd,11,3020,7776,72.28,52.13,china,47.94
museum/gallery conservator,it,decreasing,high,115733.83,master’s degree,8,245,1348,82.8,82.18,usa,51.48
technical author,transportation,increasing,low,74976.7,phd,9,6805,8708,54.31,48.3,germany,59.53
multimedia specialist,it,increasing,moderate,45128.7,phd,17,3983,4328,28.97,59.57,germany,62.93
counsellor,retail,increasing,high,86685.95,high school,3,2123,8756,6.46,98.3,china,21.56
"engineer, maintenance (it)",entertainment,decreasing,low,65110.03,associate degree,20,9241,7360,97.91,61.47,germany,32.58
fish farm manager,healthcare,decreasing,moderate,95591.96,bachelor’s degree,19,5099,3767,3.67,29.38,uk,66.3
ambulance person,entertainment,increasing,low,115218.06,master’s degree,11,5664,726,79.7,14.22,germany,54.18
multimedia programmer,manufacturing,decreasing,high,91153.53,bachelor’s degree,17,5543,7847,42.83,97.81,china,45.09
higher education lecturer,manufacturing,increasing,moderate,39821.63,master’s degree,9,8656,1839,18.11,68.75,australia,48.13
quantity surveyor,manufacturing,increasing,high,95652.17,master’s degree,18,2147,200,91.86,39.85,china,79.28
"surveyor, commercial/residential",it,increasing,low,74928.04,bachelor’s degree,8,6224,4765,97.13,51.86,usa,67.83
database administrator,finance,decreasing,high,30082.02,bachelor’s degree,18,5061,2666,95.49,53.61,brazil,36.82
senior tax professional/tax inspector,healthcare,decreasing,high,68534.6,associate degree,0,2239,2287,16.95,11.31,uk,35.16
interpreter,education,increasing,moderate,100364.95,high school,9,3614,7433,83.06,9.25,uk,57.36
animator,finance,increasing,low,56683.32,master’s degree,7,9468,1197,73.55,12.79,uk,33.48
"exhibitions officer, museum/gallery",entertainment,increasing,moderate,40113.86,phd,1,5842,4041,99.69,29.24,india,43.07
museum/gallery exhibitions officer,finance,decreasing,high,122712.77,phd,13,7452,533,38.31,12.64,germany,57.39
press sub,manufacturing,increasing,low,138559.19,phd,2,1865,7124,8.34,6.68,germany,78.01
automotive engineer,healthcare,increasing,low,111482.46,bachelor’s degree,3,7139,2848,72.38,85.15,china,61.77
counselling psychologist,transportation,decreasing,low,62522.17,high school,9,426,2184,0.43,1.31,uk,53.4
contractor,education,decreasing,low,44542.32,associate degree,12,3008,5292,93.08,56.09,germany,55.49
animal nutritionist,education,increasing,low,115671.06,high school,18,5068,1631,49.36,73.57,canada,33.37
youth worker,manufacturing,increasing,moderate,43802.25,associate degree,15,8052,7954,65.03,86.35,india,24.81
"scientist, research (maths)",healthcare,decreasing,high,132375.17,bachelor’s degree,11,847,9885,81.56,1.97,usa,79.69
horticultural consultant,finance,increasing,high,137288.73,phd,10,7120,7702,9.61,26.54,china,35.75
music therapist,finance,increasing,moderate,31798.64,high school,9,7886,3875,77.57,16.72,usa,71.87
careers adviser,entertainment,decreasing,low,95635.67,bachelor’s degree,0,6192,575,8.04,11.56,australia,68.89
paediatric nurse,manufacturing,increasing,low,103114.26,associate degree,6,4262,7171,27.99,72.44,germany,64.8
research scientist (physical sciences),finance,decreasing,high,129182.71,phd,11,9680,9221,56.75,46.68,usa,54.16
"programmer, applications",education,increasing,low,124163.37,phd,10,6069,2051,92.95,26.41,uk,64.49
child psychotherapist,it,decreasing,high,86255.49,bachelor’s degree,19,6848,6126,78.17,6.46,china,21.4
early years teacher,healthcare,decreasing,low,98270.84,associate degree,14,2100,4815,78.0,3.09,usa,35.38
armed forces technical officer,entertainment,increasing,high,125777.17,master’s degree,11,8080,8549,88.61,18.83,canada,41.76
electrical engineer,it,increasing,high,96517.87,associate degree,9,2440,4924,50.73,76.44,usa,71.39
statistician,education,decreasing,moderate,66108.46,master’s degree,19,5190,9121,78.7,11.59,germany,79.76
ambulance person,manufacturing,decreasing,moderate,42123.55,phd,11,3375,9427,81.03,27.86,usa,34.02
advertising account executive,retail,increasing,moderate,79247.56,bachelor’s degree,18,148,4850,97.16,63.98,usa,52.83
electronics engineer,finance,decreasing,high,135527.8,master’s degree,13,1496,6566,48.89,91.28,canada,20.47
advertising account planner,healthcare,increasing,low,103605.72,phd,19,8653,9418,82.02,16.14,brazil,73.22
ergonomist,it,decreasing,high,125240.22,bachelor’s degree,20,3266,7064,90.05,75.5,germany,64.37
community arts worker,education,decreasing,low,84259.31,bachelor’s degree,18,4979,5010,81.84,82.85,germany,51.08
accounting technician,manufacturing,increasing,moderate,143698.64,high school,19,7183,880,26.95,62.03,brazil,69.01
magazine features editor,finance,decreasing,moderate,137199.79,master’s degree,10,2277,424,5.01,60.0,uk,34.43
"engineer, building services",education,decreasing,high,66477.58,associate degree,11,9791,2123,54.69,50.28,usa,20.69
"administrator, local government",entertainment,decreasing,high,89399.03,high school,17,6622,6520,85.77,30.99,canada,54.39
bookseller,entertainment,increasing,moderate,89906.41,bachelor’s degree,11,3007,8110,82.73,52.83,india,50.56
cabin crew,transportation,increasing,low,101774.94,master’s degree,18,4674,3718,91.55,62.82,uk,62.46
cartographer,healthcare,increasing,high,131835.84,phd,16,6314,3279,65.18,86.96,uk,42.78
pensions consultant,it,increasing,moderate,72306.22,phd,4,1169,9952,93.25,52.89,usa,45.55
"biochemist, clinical",healthcare,increasing,low,144453.63,master’s degree,17,2732,8497,78.88,58.41,germany,34.24
"designer, ceramics/pottery",it,increasing,moderate,90734.3,high school,20,9306,2830,65.81,29.91,brazil,52.0
dramatherapist,entertainment,increasing,moderate,102041.25,associate degree,4,7973,2664,21.48,97.04,usa,67.23
herbalist,transportation,increasing,moderate,32631.51,high school,7,918,374,5.79,55.59,uk,39.75
water engineer,finance,decreasing,moderate,110089.08,bachelor’s degree,16,7984,4961,89.47,8.02,australia,37.78
training and development officer,finance,decreasing,high,31374.53,phd,5,2519,1191,42.86,78.34,china,62.35
museum education officer,education,decreasing,high,106745.24,master’s degree,19,5590,5737,95.49,44.25,china,74.34
"therapist, music",entertainment,increasing,high,118420.93,master’s degree,3,3071,6973,70.01,82.6,canada,22.32
materials engineer,healthcare,decreasing,moderate,148555.76,bachelor’s degree,3,5613,3240,93.38,19.31,australia,41.79
clinical biochemist,manufacturing,decreasing,low,42568.43,bachelor’s degree,20,659,5208,33.03,25.62,canada,61.79
ceramics designer,retail,decreasing,moderate,72211.3,high school,5,1073,1829,7.61,20.72,india,55.85
chiropodist,retail,increasing,low,90116.03,high school,5,2667,1438,34.08,65.15,india,56.94
water engineer,healthcare,increasing,moderate,64812.94,master’s degree,6,9794,5764,92.38,62.44,australia,78.43
animal nutritionist,education,increasing,low,41738.24,high school,6,9520,8776,81.51,46.78,germany,67.35
"journalist, broadcasting",finance,increasing,high,64897.31,phd,11,4540,1996,97.81,89.6,germany,77.22
industrial buyer,it,decreasing,high,102496.94,associate degree,16,2846,5782,1.07,73.08,uk,41.77
media buyer,finance,increasing,low,59470.91,bachelor’s degree,4,3290,6658,18.64,12.1,germany,51.41
legal executive,healthcare,decreasing,moderate,73567.18,bachelor’s degree,1,8806,833,7.78,47.06,germany,20.12
"doctor, hospital",it,increasing,low,122469.19,bachelor’s degree,6,309,5365,42.61,72.0,usa,73.35
multimedia programmer,finance,decreasing,high,96261.78,phd,3,1353,7982,29.41,26.71,germany,25.9
risk manager,it,increasing,moderate,54937.19,high school,10,6872,2619,25.13,98.3,china,28.15
youth worker,manufacturing,decreasing,high,110472.77,associate degree,3,4232,2368,95.97,85.69,germany,36.53
recycling officer,it,increasing,moderate,68625.46,phd,12,103,8879,99.67,31.94,brazil,57.07
travel agency manager,transportation,decreasing,high,140291.84,master’s degree,7,5362,2577,55.41,68.83,china,69.32
"teacher, secondary school",entertainment,decreasing,high,132906.71,high school,12,8912,3043,94.05,84.35,china,55.72
manufacturing engineer,entertainment,increasing,moderate,109781.19,master’s degree,10,7670,3918,80.54,77.15,india,32.95
community pharmacist,manufacturing,increasing,moderate,90408.82,high school,6,5240,4210,90.61,13.4,china,74.61
tour manager,entertainment,increasing,low,140099.43,bachelor’s degree,15,4340,9431,38.25,66.65,china,74.5
quantity surveyor,healthcare,decreasing,moderate,68263.29,associate degree,10,2507,8989,51.17,29.29,germany,72.84
publishing rights manager,finance,decreasing,moderate,80883.54,associate degree,4,5986,4880,39.83,48.48,brazil,31.23
meteorologist,education,decreasing,moderate,71383.18,bachelor’s degree,14,4574,6529,94.79,57.51,china,30.94
volunteer coordinator,retail,decreasing,moderate,113666.81,phd,20,8957,9590,50.64,64.08,uk,76.18
musician,transportation,decreasing,moderate,130024.39,associate degree,3,7274,9294,73.46,84.23,india,43.97
"sales professional, it",manufacturing,increasing,high,62876.3,master’s degree,20,1271,3010,94.16,17.6,china,30.86
retail banker,entertainment,increasing,moderate,46069.15,master’s degree,16,5443,7004,73.4,84.6,australia,62.57
games developer,healthcare,decreasing,high,99597.5,bachelor’s degree,17,2428,7840,58.46,62.17,canada,55.81
"accountant, chartered",finance,decreasing,moderate,85551.09,bachelor’s degree,11,5257,9137,15.02,4.84,china,49.9
"teacher, primary school",it,decreasing,moderate,78732.58,bachelor’s degree,14,2830,9661,56.16,92.38,india,77.44
it sales professional,it,increasing,low,96283.6,associate degree,18,5754,2434,94.27,35.21,india,44.54
theatre stage manager,manufacturing,decreasing,moderate,89456.87,master’s degree,12,8086,4981,93.93,22.39,brazil,42.09
museum/gallery curator,it,increasing,low,134691.05,phd,19,3828,6111,23.21,17.78,usa,65.8
petroleum engineer,healthcare,decreasing,moderate,47291.39,phd,4,9874,8279,44.42,36.64,india,39.32
health service manager,education,increasing,moderate,109893.39,associate degree,7,2214,3221,52.37,98.7,india,60.35
planning and development surveyor,finance,decreasing,high,120998.27,phd,7,9965,5384,73.99,70.91,canada,59.41
estate agent,manufacturing,decreasing,high,129191.86,bachelor’s degree,19,5930,1998,19.42,29.27,usa,38.27
"scientist, research (life sciences)",manufacturing,decreasing,moderate,30183.23,high school,13,1702,3499,53.44,32.95,china,36.23
"surveyor, mining",transportation,increasing,high,133839.11,bachelor’s degree,3,4087,6573,77.49,97.02,usa,21.32
"producer, radio",it,increasing,moderate,149177.06,bachelor’s degree,2,6372,7684,91.13,96.09,brazil,22.37
"engineer, materials",healthcare,decreasing,high,128939.27,bachelor’s degree,3,4674,940,90.24,35.11,australia,69.63
"surveyor, insurance",transportation,decreasing,high,34467.8,phd,11,8595,2356,90.03,73.46,uk,48.23
ceramics designer,transportation,increasing,low,48498.17,master’s degree,10,166,4234,31.04,59.56,china,24.35
public librarian,manufacturing,decreasing,high,112694.29,bachelor’s degree,0,7127,786,41.21,38.49,germany,31.11
drilling engineer,finance,decreasing,moderate,117168.13,master’s degree,19,1803,6270,14.21,64.99,uk,73.77
economist,it,increasing,low,85839.95,master’s degree,7,370,8428,16.21,20.95,usa,24.91
electronics engineer,entertainment,decreasing,moderate,41568.32,associate degree,7,1641,8446,9.91,20.58,india,48.74
farm manager,healthcare,decreasing,moderate,122482.55,bachelor’s degree,18,6336,9949,25.45,87.64,australia,69.66
location manager,transportation,increasing,low,128987.36,high school,10,316,6617,43.49,87.46,uk,71.1
amenity horticulturist,education,increasing,high,144279.99,high school,6,581,6806,16.19,11.67,germany,71.64
special educational needs teacher,education,increasing,low,103008.1,bachelor’s degree,20,9655,8179,14.69,97.36,brazil,23.19
mental health nurse,education,decreasing,high,63364.07,phd,8,9737,3603,51.88,81.05,brazil,24.48
hydrologist,transportation,increasing,low,106420.71,bachelor’s degree,20,6636,6527,1.66,49.82,canada,40.94
bonds trader,manufacturing,increasing,moderate,129374.84,associate degree,18,7815,9402,75.29,70.53,india,79.53
product manager,healthcare,increasing,low,123066.75,phd,2,9481,4889,56.0,63.09,china,22.03
"production assistant, television",entertainment,increasing,low,109282.35,associate degree,3,994,1417,24.76,4.89,china,55.65
minerals surveyor,finance,increasing,moderate,49382.62,bachelor’s degree,1,3742,4073,79.82,91.02,india,38.2
"engineer, chemical",finance,increasing,moderate,66741.46,master’s degree,13,2992,3517,62.79,5.14,canada,46.21
environmental health practitioner,healthcare,increasing,low,99117.62,high school,18,765,3065,85.55,40.52,germany,77.9
investment analyst,entertainment,increasing,low,130282.87,master’s degree,14,3230,2863,37.1,84.85,brazil,33.92
media buyer,healthcare,increasing,high,104463.36,phd,4,4375,6430,31.99,89.55,china,37.56
aeronautical engineer,it,decreasing,moderate,49214.16,phd,8,419,6273,77.76,32.14,canada,75.99
"teacher, early years/pre",healthcare,decreasing,low,123289.32,master’s degree,18,6949,1766,10.19,40.26,germany,67.83
"librarian, public",entertainment,increasing,moderate,40138.82,high school,14,4461,3641,18.31,81.81,usa,53.25
"scientist, product/process development",healthcare,increasing,low,88443.27,phd,16,121,8613,5.53,15.39,germany,55.01
civil service fast streamer,transportation,increasing,moderate,127590.49,associate degree,5,1028,2850,80.8,86.4,australia,64.9
hospital doctor,retail,increasing,low,68766.22,master’s degree,4,2402,6663,72.03,98.8,china,29.92
aid worker,it,increasing,high,65837.11,bachelor’s degree,3,9480,7096,96.22,20.69,canada,23.03
chartered accountant,manufacturing,increasing,low,50235.18,bachelor’s degree,20,8311,9401,86.15,63.28,australia,31.36
chiropodist,healthcare,increasing,low,85545.38,master’s degree,8,1744,2315,93.73,37.04,usa,31.73
chief of staff,manufacturing,decreasing,moderate,98958.74,bachelor’s degree,17,7923,1834,98.04,67.52,usa,46.0
environmental health practitioner,healthcare,increasing,high,142616.86,bachelor’s degree,8,8830,7825,0.06,37.76,australia,63.4
"scientist, biomedical",retail,decreasing,low,125383.44,associate degree,0,618,8944,93.99,40.74,usa,61.43
"designer, fashion/clothing",healthcare,decreasing,low,113297.32,associate degree,8,9548,7281,82.78,79.61,usa,27.5
information systems manager,transportation,increasing,high,113991.59,associate degree,12,7530,390,69.98,87.79,usa,71.88
broadcast presenter,finance,increasing,low,76181.86,high school,6,6281,7520,49.96,12.27,brazil,20.76
physiotherapist,finance,increasing,low,54341.13,associate degree,17,6967,6939,69.48,10.07,germany,44.41
aid worker,healthcare,increasing,moderate,77429.82,high school,19,3023,7599,42.83,81.12,uk,55.33
oceanographer,manufacturing,increasing,high,70841.05,bachelor’s degree,11,4046,1708,37.3,7.09,australia,33.01
interior and spatial designer,it,increasing,low,94442.2,master’s degree,12,7885,4787,92.82,8.66,usa,68.68
clinical biochemist,entertainment,increasing,moderate,68850.84,high school,9,9336,8675,35.99,17.15,australia,69.08
"engineer, manufacturing systems",transportation,decreasing,high,149781.35,phd,8,331,9524,68.44,76.12,china,37.94
charity officer,education,increasing,moderate,77432.87,high school,3,152,5053,13.01,80.8,india,53.82
tax inspector,education,decreasing,low,144115.67,bachelor’s degree,3,5237,2017,96.21,85.85,canada,49.69
"journalist, newspaper",education,decreasing,low,95081.03,associate degree,15,2526,5731,52.5,74.24,india,23.16
commissioning editor,retail,increasing,high,47537.77,bachelor’s degree,6,4198,7195,2.01,70.85,india,65.91
it sales professional,healthcare,increasing,low,130970.36,high school,16,4177,5593,17.66,37.95,australia,21.92
"engineer, civil (consulting)",healthcare,increasing,low,59210.07,phd,12,3200,4919,32.7,71.96,canada,64.95
counselling psychologist,healthcare,increasing,moderate,72058.61,phd,2,7485,6442,87.66,37.7,brazil,30.52
"engineer, manufacturing systems",finance,increasing,moderate,109356.55,master’s degree,10,9596,9947,93.72,32.66,china,75.6
community pharmacist,entertainment,decreasing,low,142963.7,high school,16,8857,5261,56.22,13.86,india,31.9
automotive engineer,healthcare,decreasing,high,109415.32,phd,1,8244,2582,3.67,70.81,usa,22.04
acupuncturist,it,increasing,high,117834.71,phd,6,6486,2155,75.96,65.79,canada,47.88
"teacher, music",manufacturing,decreasing,low,145798.12,bachelor’s degree,4,2141,8092,15.59,41.89,brazil,57.73
electrical engineer,education,increasing,moderate,57580.63,associate degree,4,2067,8768,71.18,66.32,uk,22.9
theatre manager,manufacturing,increasing,high,44557.58,bachelor’s degree,7,8600,8451,49.05,83.13,brazil,65.64
sales promotion account executive,finance,decreasing,low,34014.29,bachelor’s degree,4,9153,4251,72.94,70.21,india,48.75
multimedia programmer,entertainment,increasing,low,56135.47,associate degree,4,1229,7369,66.08,21.61,usa,23.48
theatre manager,entertainment,increasing,high,91977.75,phd,3,4837,6074,33.76,25.2,china,54.17
health promotion specialist,transportation,increasing,low,82613.9,master’s degree,19,8168,247,94.57,80.17,usa,78.47
mechanical engineer,healthcare,decreasing,high,139546.53,master’s degree,2,8634,6057,20.93,36.43,india,23.45
